Longitude Latitude Value
60.442809 24.125663 0.475535
60.472380 24.125663 0.477181
60.501951 24.125663 0.478869
60.531523 24.125663 0.480918
60.561094 24.125663 0.483346
60.590665 24.125663 0.485135
60.620236 24.125663 0.487493
60.649808 24.125663 0.490648
60.679379 24.125663 0.493046
60.708950 24.125663 0.496435
60.738521 24.125663 0.499320
60.768093 24.125663 0.502025
60.797664 24.125663 0.504507
60.827235 24.125663 0.506572
60.856806 24.125663 0.508069
60.886377 24.125663 0.510033
60.915949 24.125663 0.512567
60.945520 24.125663 0.514640
60.975091 24.125663 0.516817
61.004662 24.125663 0.519153
61.034234 24.125663 0.521453
61.063805 24.125663 0.524763
61.093376 24.125663 0.528928
61.122947 24.125663 0.533014
61.152518 24.125663 0.534152
61.182090 24.125663 0.534768
61.211661 24.125663 0.535936
61.241232 24.125663 0.537354
61.270803 24.125663 0.539213
61.300375 24.125663 0.541348
61.329946 24.125663 0.543223
61.359517 24.125663 0.544789
61.389088 24.125663 0.547583
61.418660 24.125663 0.549838
61.448231 24.125663 0.552624
61.477802 24.125663 0.554620
61.507373 24.125663 0.556748
61.536944 24.125663 0.558961
61.566516 24.125663 0.561772
61.596087 24.125663 0.564428
61.625658 24.125663 0.566927
61.655229 24.125663 0.569126
61.684801 24.125663 0.571373
61.714372 24.125663 0.574032
61.743943 24.125663 0.576237
61.773514 24.125663 0.579366
61.803085 24.125663 0.582157
61.832657 24.125663 0.585117
61.862228 24.125663 0.588599
60.058383 24.131806 0.440034
60.087954 24.131806 0.441102
60.117526 24.131806 0.442117
60.147097 24.131806 0.445071
60.176668 24.131806 0.448092
60.206239 24.131806 0.451352
60.235810 24.131806 0.454663
60.265382 24.131806 0.458207
60.294953 24.131806 0.461571
60.324524 24.131806 0.465249
60.354095 24.131806 0.469378
60.383667 24.131806 0.471921
60.413238 24.131806 0.473198
60.442809 24.131806 0.474374
60.472380 24.131806 0.475864
60.501951 24.131806 0.477565
60.531523 24.131806 0.479544
60.561094 24.131806 0.482131
60.590665 24.131806 0.483761
60.620236 24.131806 0.485913
60.649808 24.131806 0.489266
60.679379 24.131806 0.491657
60.708950 24.131806 0.494922
60.738521 24.131806 0.497788
60.768093 24.131806 0.500551
60.797664 24.131806 0.503018
60.827235 24.131806 0.505051
60.856806 24.131806 0.506395
